Data Source,World Development Indicators,,
,,,
Last Updated Date,09/04/2020,,
,,,
Country Name,Country Code,Region,2018
Aruba,ABW,region,105845
Afghanistan,AFG,region,37172386
Angola,AGO,region,30809762
Albania,ALB,region,2866376
Andorra,AND,region,77006
Arab World,ARB,region,419790588
United Arab Emirates,ARE,region,9630959
Argentina,ARG,region,44494502
Armenia,ARM,region,2951776
American Samoa,ASM,region,55465
Antigua and Barbuda,ATG,region,96286
Australia,AUS,region,24982688
Austria,AUT,region,8840521
Azerbaijan,AZE,region,9939800
Burundi,BDI,region,11175378
Belgium,BEL,region,11433256
Benin,BEN,region,11485048
Burkina Faso,BFA,region,19751535
Bangladesh,BGD,region,161356039
Bulgaria,BGR,region,7025037
Bahrain,BHR,region,1569439
"Bahamas, The",BHS,region,385640
Bosnia and Herzegovina,BIH,region,3323929
Belarus,BLR,region,9483499
Belize,BLZ,region,383071
Bermuda,BMU,region,63973
Bolivia,BOL,region,11353142
Brazil,BRA,region,209469333
Barbados,BRB,region,286641
Brunei Darussalam,BRN,region,428962
Bhutan,BTN,region,754394
Botswana,BWA,region,2254126
Central African Republic,CAF,region,4666377
Canada,CAN,region,37057765
Central Europe and the Baltics,CEB,region,102511922
Switzerland,CHE,region,8513227
Channel Islands,CHI,region,170499
Chile,CHL,region,18729160
China,CHN,region,1392730000
Cote d'Ivoire,CIV,region,25069229
Cameroon,CMR,region,25216237
"Congo, Dem. Rep.",COD,region,84068091
"Congo, Rep.",COG,region,5244363
Colombia,COL,region,49648685
Comoros,COM,region,832322
Cabo Verde,CPV,region,543767
Costa Rica,CRI,region,4999441
Caribbean small states,CSS,region,7358965
Cuba,CUB,region,11338138
Curacao,CUW,region,159800
Cayman Islands,CYM,region,64174
Cyprus,CYP,region,1189265
Czech Republic,CZE,region,10629928
Germany,DEU,region,82905782
Djibouti,DJI,region,958920
Dominica,DMA,region,71625
Denmark,DNK,region,5793636
Dominican Republic,DOM,region,10627165
Algeria,DZA,region,42228429
East Asia & Pacific (excluding high income),EAP,region,2081651801
Early-demographic dividend,EAR,region,3249140605
East Asia & Pacific,EAS,region,2328220870
Europe & Central Asia (excluding high income),ECA,region,417797257
Europe & Central Asia,ECS,region,918793590
Ecuador,ECU,region,17084357
"Egypt, Arab Rep.",EGY,region,98423595
Euro area,EMU,region,341783171
Eritrea,ERI,region,
Spain,ESP,region,46796540
Estonia,EST,region,1321977
Ethiopia,ETH,region,109224559
European Union,EUU,region,446786293
Fragile and conflict affected situations,FCS,region,743958386
Finland,FIN,region,5515525
Fiji,FJI,region,883483
France,FRA,region,66977107
Faroe Islands,FRO,region,48497
"Micronesia, Fed. Sts.",FSM,region,112640
Gabon,GAB,region,2119275
United Kingdom,GBR,region,66460344
Georgia,GEO,region,3726549
Ghana,GHA,region,29767108
Gibraltar,GIB,region,33718
Guinea,GIN,region,12414318
"Gambia, The",GMB,region,2280102
Guinea-Bissau,GNB,region,1874309
Equatorial Guinea,GNQ,region,1308974
Greece,GRC,region,10731726
Grenada,GRD,region,111454
Greenland,GRL,region,56025
Guatemala,GTM,region,17247807
Guam,GUM,region,165768
Guyana,GUY,region,779004
High income,HIC,region,1210312147
"Hong Kong SAR, China",HKG,region,7451000
Honduras,HND,region,9587522
Heavily indebted poor countries (HIPC),HPC,region,780234406
Croatia,HRV,region,4087843
Haiti,HTI,region,11123176
Hungary,HUN,region,9775564
IBRD only,IBD,region,4772284113
IDA & IBRD total,IBT,region,6412522234
IDA total,IDA,region,1640238121
IDA blend,IDB,region,555830605
Indonesia,IDN,region,267663435
IDA only,IDX,region,1084407516
Isle of Man,IMN,region,84077
India,IND,region,1352617328
Not classified,INX,region,
Ireland,IRL,region,4867309
"Iran, Islamic Rep.",IRN,region,81800269
Iraq,IRQ,region,38433600
Iceland,ISL,region,352721
Israel,ISR,region,8882800
Italy,ITA,region,60421760
Jamaica,JAM,region,2934855
Jordan,JOR,region,9956011
Japan,JPN,region,126529100
Kazakhstan,KAZ,region,18272430
Kenya,KEN,region,51393010
Kyrgyz Republic,KGZ,region,6322800
Cambodia,KHM,region,16249798
Kiribati,KIR,region,115847
St. Kitts and Nevis,KNA,region,52441
"Korea, Rep.",KOR,region,51606633
Kuwait,KWT,region,4137309
Latin America & Caribbean (excluding high income),LAC,region,609013934
Lao PDR,LAO,region,7061507
Lebanon,LBN,region,6848925
Liberia,LBR,region,4818977
Libya,LBY,region,6678567
St. Lucia,LCA,region,181889
Latin America & Caribbean,LCN,region,641357515
Least developed countries: UN classification,LDC,region,1009662578
Low income,LIC,region,705417321
Liechtenstein,LIE,region,37910
Sri Lanka,LKA,region,21670000
Lower middle income,LMC,region,3022905169
Low & middle income,LMY,region,6383958209
Lesotho,LSO,region,2108132
Late-demographic dividend,LTE,region,2288665963
Lithuania,LTU,region,2801543
Luxembourg,LUX,region,607950
